FamilyID,Change,Species,Trend,Pvalue,Significance
OG0007002,-1,CFUS,Contraction,0.453,n
OG0007002,1,PHYP,Expansion,0.453,n
OG0007002,1,SMER,Expansion,0.453,n
OG0007003,-1,CFUS,Contraction,0.83,n
OG0007003,1,TFUL,Expansion,0.83,n
OG0007004,-1,CMAC,Contraction,0.348,n
OG0007004,-1,BYAR,Contraction,0.348,n
OG0007004,1,AMEL,Expansion,0.348,n
OG0007004,1,CFUS,Expansion,0.348,n
OG0007005,-1,BYAR,Contraction,0.996,n
OG0007005,1,SMER,Expansion,0.996,n
OG0007006,-1,CMAG,Contraction,0.936,n
OG0007007,-1,CFUS,Contraction,0.932,n
OG0007008,1,CFUS,Expansion,0.769,n
OG0007008,-1,CGAR,Contraction,0.769,n
OG0007009,1,TFUL,Expansion,0.33,n
OG0007009,-1,CFUS,Contraction,0.33,n
OG0007009,1,PHYP,Expansion,0.33,n
OG0007009,-1,CGAR,Contraction,0.33,n
OG0007010,-1,PHYP,Contraction,0.61,n
OG0007010,-1,CBAT,Contraction,0.61,n
OG0007011,1,SMER,Expansion,0.996,n
OG0007011,-1,BYAR,Contraction,0.996,n
OG0007012,1,CGAR,Expansion,0.453,n
OG0007012,-1,BYAR,Contraction,0.453,n
OG0007012,-1,CFUS,Contraction,0.453,n
OG0007013,1,TFUL,Expansion,0.83,n
OG0007013,-1,CFUS,Contraction,0.83,n
OG0007014,5,TFUL,Expansion,0.022,y
OG0007014,-1,BYAR,Contraction,0.022,y
OG0007014,1,PHYP,Expansion,0.022,y
OG0007015,2,SMER,Expansion,0.997,n
OG0007015,-1,BYAR,Contraction,0.997,n
OG0007016,1,CFUS,Expansion,0.928,n
OG0007017,-1,BYAR,Contraction,0.927,n
OG0007017,1,TFUL,Expansion,0.927,n
OG0007018,1,IPUN,Expansion,0.965,n
OG0007019,1,CGAR,Expansion,0.789,n
OG0007019,-1,CBAT,Contraction,0.789,n
OG0007020,-1,CMAC,Contraction,0.727,n
OG0007020,1,CFUS,Expansion,0.727,n
OG0007021,1,TFUL,Expansion,0.257,n
OG0007021,-1,CFUS,Contraction,0.257,n
OG0007021,-1,HWYC,Contraction,0.257,n
OG0007021,-1,CGAR,Contraction,0.257,n
OG0007021,2,SMER,Expansion,0.257,n
OG0007021,1,AMEL,Expansion,0.257,n
OG0007022,-1,CBAT,Contraction,0.727,n
OG0007022,1,CMAC,Expansion,0.727,n
OG0007023,1,IPUN,Expansion,0.772,n
OG0007023,-1,CBAT,Contraction,0.772,n
OG0007024,-1,CFUS,Contraction,0.779,n
OG0007024,1,PHYP,Expansion,0.779,n
OG0007024,1,SMER,Expansion,0.779,n
OG0007025,1,TFUL,Expansion,0.51,n
OG0007025,-1,CFUS,Contraction,0.51,n
OG0007025,-1,CMAG,Contraction,0.51,n
OG0007026,-1,HWYC,Contraction,0.268,n
OG0007026,-1,CFUS,Contraction,0.268,n
OG0007026,-1,CMAG,Contraction,0.268,n
OG0007026,1,PHYP,Expansion,0.268,n
OG0007026,3,SMER,Expansion,0.268,n
OG0007028,-1,CGAR,Contraction,0.444,n
OG0007028,1,CMAG,Expansion,0.444,n
OG0007028,-1,CBAT,Contraction,0.444,n
OG0007029,-1,BYAR,Contraction,0.683,n
OG0007030,1,SMER,Expansion,0.864,n
OG0007030,-1,CFUS,Contraction,0.864,n
OG0007030,1,TFUL,Expansion,0.864,n
OG0007031,1,CFUS,Expansion,0.928,n
